"college","city","state","region","locale","lat","long","school_type","adm_rate","adm_rate_all","avg_net_pub","avg_net_priv","avg_cost","avg_tuition","population","avg_fam_inc","md_fam_inc","pct_loan","pct_pell","md_debt","md_earnings_10","pct_25k","default_rate","repay_rate","comp_deg","eng_deg","engtech_deg","math_deg","sci_deg"
"Alabama A & M University","Normal","AL",5,"12","34.783368","-86.568502","1","0.5256","0.52560347439652","15229","NULL",21475,9427,"4206","30235.73401","21595.33186","0.8284","0.7356",33888,30300,0.61,0.172,"0.4104569782",0.0275,0.1081,0.0339,0.0169,0.0127
"University of Alabama at Birmingham","Birmingham","AL",5,"12","33.50223","-86.80917","1","0.8569","0.85691768826619","14789","NULL",20621,9899,"11383","49731.07607","34491.4012","0.5214","0.346",21941.5,39700,0.739,0.062,"0.6581828134",0.015,0.0577,0,0.0102,0.0204
"Amridge University","Montgomery","AL",5,"12","32.362609","-86.17401","2","NULL","NULL","NULL","12992",16370,12459,"291","19862.04352","15191.78276","0.7795","0.6801",23370,40100,0.73,0.122,"0.5333333333",0,0,0,0,0
"University of Alabama in Huntsville","Huntsville","AL",5,"12","34.722818","-86.63842","1","0.8203","0.82034220532319","18596","NULL",21107,8956,"5451","52681.57006","36239.77182","0.4596","0.3072",24097,45500,0.765,0.061,"0.646234676",0.0271,0.2624,0,0.014,0.0261
"Alabama State University","Montgomery","AL",5,"12","32.364317","-86.295677","1","0.5326","0.53264694382901","11110","NULL",18184,7733,"4811","29758.63871","21737.27737","0.7554","0.7347",33118.5,26600,0.531,0.156,"0.3543673198",0.0813,0,0,0.017,0.0359
"The University of Alabama","Tuscaloosa","AL",5,"13","33.2144","-87.545766","1","0.5105","0.51046359971543","20787","NULL",26400,12791,"29851","88316.01753","63166.00672","0.401","0.204",23750,41900,0.783,0.063,"0.7083839611",0.007,0.0771,0,0.0065,0.0111
"Athens State University","Athens","AL",5,"31","34.805625","-86.96514","1","NULL","NULL","NULL","NULL",NA,5476,"2991","39822.65557","29270.71273","0.6296","0.4088",18595,39000,0.754,0.086,"0.6227272727",0.0288,0,0,0.0192,0.0024
"Auburn University at Montgomery","Montgomery","AL",5,"12","32.369939","-86.177351","1","0.8017","0.80169571361281","13431","NULL",17903,8071,"4304","38442.71035","25555.25053","0.5803","0.4192",21335,35000,0.672,0.106,"0.5749486653",0,0,0,0.0066,0.0231
"Auburn University","Auburn","AL",5,"13","32.604685","-85.482782","1","0.8347","0.83465031253685","18644","NULL",25282,14135,"20514","88069.56908","66831.18872","0.3494","0.161",21831,45700,0.813,0.045,"0.8274472624",0.006,0.1637,0,0.0089,0.0123
"Birmingham Southern College","Birmingham","AL",5,"12","33.515453","-86.853636","2","0.5339","0.53393501805054","NULL","18728",45162,10266,"1180","92909.32901","70831.32582","0.4809","0.192",27000,44200,0.777,0.044,"0.8301158301",0,0.0135,0,0.0269,0.0269
"Concordia College Alabama","Selma","AL",5,"32","32.42443","-87.023531","2","0.5328","0.53284671532846","NULL","12329",17603,5768,"322","18578.48151","15246.5518","0.9333","0.8667",NA,19900,0.382,0.315,"NULL",0,0,0,0,0
"Faulkner University","Montgomery","AL",5,"12","32.384181","-86.21641","2","NULL","NULL","NULL","20240",30116,11127,"2367","36585.55437","23765.73465","0.7253","0.5812",22000,37200,0.702,0.1,"0.5274166196",0.0077,0,0,0.0058,0
"Huntingdon College","Montgomery","AL",5,"12","32.350939","-86.285313","2","0.5839","0.58385525400139","NULL","19040",32370,10131,"1149","59138.77188","39106.44326","0.7153","0.3982",26230,36500,0.694,0.102,"0.6951871658",0,0,0,0.0212,0.0085
"Jacksonville State University","Jacksonville","AL",5,"13","33.822128","-85.766644","1","0.8326","0.83260357022566","17974","NULL",20830,6447,"7060","46047.12254","35079.88325","0.6825","0.4428",23000,34600,0.667,0.096,"0.5953599454",0.0138,0,0.023,0.0123,0.0054
"Judson College","Marion","AL",5,"43","32.630526","-87.316127","2","0.6525","0.65254237288135","NULL","11592",28840,8101,"376","28850.14445","15917.22058","0.7205","0.4784",NA,29300,0.622,0.132,"0.5914634146",0,0,0,0,0.0667
"University of West Alabama","Livingston","AL",5,"43","32.59244","-88.186077","1","0.7199","0.71992110453648","13092","NULL",17839,7928,"1916","37021.76669","23965.51911","0.6733","0.5323",24253,33900,0.659,0.078,"0.545034642",0,0,0.0412,0.03,0.0225
"Miles College","Fairfield","AL",5,"21","33.481306","-86.908605","2","NULL","NULL","NULL","16694",22436,5202,"1778","23942.953","16820.1215","0.9244","0.8452",36789.5,25700,0.515,0.168,"0.2512212142",0.0859,0,0,0.0152,0.0051
"University of Mobile","Mobile","AL",5,"41","30.793247","-88.128934","2","0.5847","0.58473736372646","NULL","19017",31220,9947,"1460","51787.87892","39066.95932","0.7576","0.4909",27000,35000,0.676,0.062,"0.6051612903",0.01,0,0,0.0166,0
"University of Montevallo","Montevallo","AL",5,"21","33.10625","-86.865099","1","0.743","0.74299835255354","16877","NULL",22440,7568,"2644","53705.57934","39228.5774","0.5856","0.3972",23266,34900,0.681,0.103,"0.7058823529",0,0,0,0.0214,0.0036
"University of North Alabama","Florence","AL",5,"13","34.80658","-87.680999","1","0.6788","0.67884267631103","11294","NULL",15494,6702,"5485","50764.13203","37593.96863","0.6733","0.4051",21500,36100,0.703,0.111,"0.6815459989",0.0106,0,0,0.0029,0.0203
"Oakwood University","Huntsville","AL",5,"12","34.756628","-86.661628","2","0.4787","0.47865275142315","NULL","24992",36064,11693,"1878","51008.51066","36828.91843","0.7271","0.5062",27250,33900,0.642,0.125,"0.453125",0.0311,0,0,0.0093,0
"Samford University","Birmingham","AL",5,"21","33.464578","-86.790932","2","0.5954","0.59536814507319","NULL","26733",40900,18352,"3033","96315.59549","74745.35603","0.3385","0.1391",23000,45800,0.814,0.007,"0.8517940718",0.0143,0.0064,0,0.0064,0.0016
"University of South Alabama","Mobile","AL",5,"12","30.695081","-88.18189","1","0.8335","0.8334858188472","14327","NULL",18525,7295,"11267","49146.77516","33990.23827","0.5729","0.3906",24711,37300,0.701,0.075,"0.592512599",0.028,0.0714,0,0.004,0.022
"Spring Hill College","Mobile","AL",5,"12","30.694751","-88.138199","2","0.5177","0.51769415532425","NULL","19713",44970,12082,"1215","73448.23686","52147.16734","0.6873","0.2307",27000,42800,0.795,0.066,"0.7022727273",0,0.0041,0,0.0166,0.0041
"Stillman College","Tuscaloosa","AL",5,"13","33.199228","-87.585242","2","0.5901","0.59009532666821","NULL","17002",26185,21345,"1056","28899.89656","19877.5331","0.8992","0.8436",38218,25700,0.507,0.187,"0.3681506849",0,0,0,0.0088,0
"Talladega College","Talladega","AL",5,"32","33.434258","-86.113675","2","NULL","NULL","NULL","12629",20918,18039,"819","22353.29105","16495.05322","0.5956","0.5747",27745,25100,0.497,0.281,"0.3861386139",0.0494,0,0,0,0
"Troy University","Troy","AL",5,"41","31.800128","-85.950191","1","0.4414","0.4414457070707","11907","NULL",17354,8632,"15025","38291.03492","25763.31458","0.6521","0.4537",25000,35600,0.683,0.114,"0.5114369501",0.0418,0,0.001,0.0097,0.0035
"Tuskegee University","Tuskegee","AL",5,"32","32.431021","-85.710315","2","0.4922","0.49219800914716","NULL","29242",32853,14104,"2588","48713.60444","33037.68849","0.7639","0.63",33500,36800,0.699,0.128,"0.5604395604",0.0183,0.159,0,0.0122,0.0092
"University of Alaska Anchorage","Anchorage","AK",8,"11","61.189554","-149.826135","1","NULL","NULL","8661","NULL",13610,5843,"12865","44911.58487","30254.86211","0.2647","0.2385",19449.5,42500,0.718,0.124,"0.7150074294",0.0199,0.0381,0.0575,0.0066,0.0111
"University of Alaska Fairbanks","Fairbanks","AK",8,"23","64.856483","-147.822943","1","NULL","NULL","9188","NULL",15340,6491,"5536","46691.45487","32147.67596","0.255","0.2263",19355,36200,0.678,0.125,"0.687804878",0.0089,0.0837,0.0346,0.0072,0.0193
"Alaska Pacific University","Anchorage","AK",8,"11","61.191235","-149.804242","2","0.4207","0.42073170731707","NULL","25616",42640,13383,"275","61261.55225","48957.62318","0.5297","0.3152",23250,47000,0.775,0.077,"0.7258883249",0,0,0,0,0.0366
"Arizona State University-Tempe","Tempe","AZ",6,"12","33.422247","-111.934629","1","0.8433","0.78443051201671","10858","NULL",22312,12460,"39316","57456.42977","37288.81365","0.4527","0.3192",20229,45100,0.797,0.073,"0.7102238355",0.0314,0.0774,3e-04,0.0139,0.0108
"University of Arizona","Tucson","AZ",6,"11","32.232071","-110.950769","1","0.7462","0.74617241695443","15215","NULL",24617,12441,"32646","69118.07373","42731.98058","0.4055","0.3349",19000,44000,0.783,0.06,"0.7952465309",0.0187,0.0598,0.0061,0.0116,0.0251
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",6,"41","34.615678","-112.452285","2","0.8016","0.74323927101704","NULL","30002",46174,26607,"1971","54509.31343","36403.0875","0.5189","0.2501",24411,61500,0.888,0.034,"0.8045726728",0,0.2938,0,0,0.0406
"Grand Canyon University","Phoenix","AZ",6,"11","33.512172","-112.129917","3","0.5757","0.57566629011338","NULL","28039",30945,10550,"38905","41630.26758","26737.37249","0.6189","0.5055",18750,44500,0.751,0.103,"0.5879732739",0,0,0,0,0
"Northern Arizona University","Flagstaff","AZ",6,"13","35.180095","-111.657653","1","0.8099","0.80994976502997","13683","NULL",22561,7331,"23189","58173.10799","40285.06598","0.5376","0.3662",20500,39100,0.758,0.073,"0.6736043571",0.005,0.0376,0,0.0057,0.0183
"Ottawa University-Phoenix","Phoenix","AZ",6,"11","33.57172","-112.113301","2","NULL","0.99473684210526","NULL","NULL",NA,6371,"345","45011.51835","32981.96701","0.6203","0.5246",22000,40300,0.772,0.076,"0.6781609195",0.0054,0,0,0.0108,0
"Prescott College","Prescott","AZ",6,"13","34.5445","-112.476509","2","0.6873","0.68725868725868","NULL","24851",41256,17501,"454","49942.71465","25048.479","0.6073","0.455",24398.5,33300,0.655,0.07,"0.7191489362",0,0,0,0,0.0065
"Arizona Christian University","Phoenix","AZ",6,"11","33.595117","-112.026211","2","0.5673","0.56727272727272","NULL","27514",33945,9345,"620","60424.69638","46534.38378","0.463","0.3039",22500,33500,0.622,0.059,"0.6826923077",0,0,0,0,0
"University of Arkansas at Little Rock","Little Rock","AR",5,"12","34.726644","-92.341835","1","0.5928","0.59280411193603","13619","NULL",22521,6640,"7942","36037.93076","24962.57042","0.4775","0.3941",21736,33900,0.677,0.086,"0.5110161871",0.0179,0.0161,0.0375,0.0089,0.0191
"Lyon College","Batesville","AR",5,"33","35.778934","-91.628115","2","0.6142","0.61424180327868","NULL","13652",33605,9009,"690","60515.34345","47861.85311","0.674","0.4578",25000,38600,0.754,0.064,"0.7684729064",0.028,0,0,0.0374,0.028
"University of Arkansas","Fayetteville","AR",5,"13","36.06153","-94.178214","1","0.6204","0.62036451748841","14143","NULL",20350,7143,"21405","78318.57088","55719.45039","0.4026","0.2359",21500,43400,0.773,0.063,"0.7756264237",0.0113,0.096,0,0.0067,0.0333
"University of Arkansas at Pine Bluff","Pine Bluff","AR",5,"13","34.242192","-92.021263","1","0.3868","0.38683010262257","8134","NULL",15409,2164,"2391","26886.38803","20653.79061","0.7422","0.7231",27728.5,27200,0.548,0.247,"0.3831553974",0.0233,0,0.0909,0.0023,0.0117
"Arkansas State University-Main Campus","Jonesboro","AR",5,"13","35.842779","-90.680478","1","0.7239","0.72394809280377","11752","NULL",19359,3633,"9139","43001.74098","30405.76065","0.5342","0.4522",19250,31700,0.631,0.102,"0.6219094713",0.0108,0.0135,0.0099,0.0059,0.0153
"Arkansas Tech University","Russellville","AR",5,"33","35.295227","-93.13233","1","0.8626","0.86256607400288","10205","NULL",16518,3668,"8845","39233.99579","28416.82634","0.4517","0.4447",17480,33800,0.658,0.171,"0.6339969372",0.0173,0.0282,0.0183,0.0064,0.0109
"University of Central Arkansas","Conway","AR",5,"13","35.078196","-92.45931","1","0.9426","0.94263565891472","11087","NULL",18354,4697,"9232","48677.13791","33571.73201","0.5125","0.4101",21500,36500,0.713,0.091,"0.6531307309",0.0155,0,0,0.0162,0.0201
"Central Baptist College","Conway","AR",5,"13","35.084574","-92.444102","2","0.5697","0.56967213114754","NULL","12237",21616,8783,"788","52127.42993","36838.81499","0.5913","0.4426",21500,31300,0.618,0.109,"0.6044444444",0,0,0,0,0
"Harding University","Searcy","AR",5,"32","35.249605","-91.729008","2","0.9912","0.99118554429264","NULL","24580",26484,12463,"4485","79127.4518","66148.59722","0.5526","0.2663",26077,38000,0.724,0.031,"0.8067504964",0.0441,0.0325,0,0.0081,0.007
"Henderson State University","Arkadelphia","AR",5,"32","34.127792","-93.060313","1","0.6278","0.62783534024082","9716","NULL",18679,3067,"3226","40294.93735","28850.38764","0.5964","0.5408",19586,34500,0.702,0.149,"0.5956580733",0.0099,0.0059,0,0.0079,0.0238
"Hendrix College","Conway","AR",5,"13","35.09972","-92.442021","2","0.8282","0.82822822822822","NULL","23563",52536,11902,"1322","101616.3786","82164.11154","0.4703","0.1861",25500,40500,0.805,0.048,"0.8761904762",0.0248,0,0,0.0124,0.0681
"John Brown University","Siloam Springs","AR",5,"32","36.191077","-94.559088","2","0.6978","0.6977518734388","NULL","19034",34776,10593,"1742","58963.73273","47717.37831","0.5067","0.3053",23211,46700,0.808,0.031,"0.8587641866",0,0.0566,0.0065,0.0065,0.0109
"Ouachita Baptist University","Arkadelphia","AR",5,"32","34.125045","-93.052442","2","0.7061","0.70612009237875","NULL","18488",32560,10798,"1455","76813.01254","62539.77972","0.5431","0.289",23250,37400,0.701,0.068,"0.8123569794",0.0085,0,0,0.0169,0.0113
"University of the Ozarks","Clarksville","AR",5,"33","35.477785","-93.467924","2","0.8892","0.88922155688622","NULL","15008",35438,10822,"578","53435.11229","37688.33957","0.4957","0.4239",24200,36600,0.722,0.175,"0.743315508",0,0,0,0.0242,0.0161
"Philander Smith College","Little Rock","AR",5,"12","34.73666","-92.28242","2","NULL","NULL","NULL","13489",25061,7317,"565","23967.14885","15085.40657","0.8669","0.7176",31000,24300,0.487,0.156,"0.3353293413",0.0556,0,0,0.0463,0.0278
"Williams Baptist College","Walnut Ridge","AR",5,"42","36.126825","-90.939876","2","0.7049","0.70486111111111","NULL","13239",23161,6711,"508","53332.52948","42640.41205","0.6028","0.4704",19000,32200,0.664,0.089,"0.6916996047",0,0,0,0,0
"Southern Arkansas University Main Campus","Magnolia","AR",5,"33","33.291195","-93.235087","1","0.7142","0.71422861710631","10150","NULL",18887,3602,"2784","36803.56318","26409.38143","0.4794","0.5034",17000,34000,0.671,0.18,"0.5797697368",0.0068,0,0,0.0068,0.0541
"University of Arkansas-Fort Smith","Fort Smith","AR",5,"13","35.385345","-94.374073","1","0.5629","0.5628592851787","7536","NULL",13983,2356,"5990","34830.30908","25265.79223","0.3813","0.5074",15500,30000,0.597,0.203,"0.5754072517",0.04,0,0.0408,8e-04,0.0039
"Azusa Pacific University","Azusa","CA",8,"21","34.130865","-117.88795","2","0.8183","0.81833910034602","NULL","29574",45472,18423,"5918","65930.55838","48805.00896","0.5172","0.2898",22500,50000,0.773,0.036,"0.8377358491",0.0114,0,0,0.0114,0.0069
"Biola University","La Mirada","CA",8,"21","33.904823","-118.017342","2","0.754","0.75400103252452","NULL","31176",46162,21146,"4364","81461.55136","61950.18237","0.6176","0.311",24375,40500,0.703,0.022,"0.872828353",0.0064,0.0021,0,0.0075,0.0021
"California Baptist University","Riverside","CA",8,"11","33.928569","-117.42587","2","0.7967","0.79672286867727","NULL","27813",39523,18625,"6435","59232.46929","41571.98102","0.7711","0.4756",27000,40300,0.704,0.047,"0.7203947368",0,0.0515,0.001,0.0078,0.0029
"California Institute of Technology","Pasadena","CA",8,"12","34.139275","-118.12574","2","0.0883","0.08827586206896","NULL","25308",58755,16533,"983","98794.74927","79902.69912","0.2303","0.1126",11812.5,77800,0.869,0.025,"PrivacySuppressed",0.1777,0.3604,0,0.1066,0.2234
"California Lutheran University","Thousand Oaks","CA",8,"12","34.225551","-118.879467","2","0.6097","0.60970724191063","NULL","27918",50425,18773,"2799","82265.93604","63210.77356","0.5765","0.2722",23000,51000,0.796,0.027,"0.8701298701",0.0392,0.0108,0,0.0108,0.0176
"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",8,"23","35.29889","-120.65856","1","0.3089","0.30888797589701","18047","NULL",24218,8330,"19177","89738.38349","68332.56868","0.3391","0.2012",19166,61800,0.849,0.016,"0.9131161236",0.0193,0.248,0.0128,0.0149,0.0201
"California State University-Bakersfield","Bakersfield","CA",8,"11","35.350005","-119.104711","1","0.706","0.7059514487079","6297","NULL",15975,2882,"7524","35448.05037","25404.63319","0.4069","0.626",14875,46500,0.761,0.067,"0.6928166352",0.0166,0.0097,0,0.0138,0.0373
"California State University-Stanislaus","Turlock","CA",8,"23","37.52577","-120.852511","1","0.7272","0.72722922316158","6759","NULL",16190,4697,"7844","37004.48995","27138.36867","0.3966","0.6006",15761,43400,0.752,0.056,"0.7575322812",0.0291,0,0,0.0146,0.0122
"California State University-San Bernardino","San Bernardino","CA",8,"12","34.182987","-117.322508","1","0.8445","0.84446159783867","6712","NULL",16206,4359,"16439","36171.29134","26004.41749","0.4476","0.6281",17500,44600,0.748,0.069,"0.6195652174",0.0132,0.0069,0,0.0212,0.02
"California State Polytechnic University-Pomona","Pomona","CA",8,"21","34.054273","-117.819019","1","0.5187","0.5187330427095","11085","NULL",19042,4552,"22269","43921.61157","28905.26756","0.3963","0.4674",18500,50700,0.811,0.032,"0.8196176226",0.0239,0.1806,0.0263,0.0141,0.0171
"California State University-Chico","Chico","CA",8,"13","39.728003","-121.846333","1","0.7096","0.70956036287508","13640","NULL",21715,4966,"15844","48537.83625","31431.38148","0.459","0.4226",16500,44400,0.772,0.055,"0.7818084823",0.0378,0.0445,0.0281,0.007,0.0067
"California State University-Dominguez Hills","Carson","CA",8,"13","33.86524","-118.259316","1","0.4234","0.42342741425136","2416","NULL",12399,5053,"12199","28003.61082","20152.64476","0.3827","0.6047",15594,42500,0.739,0.077,"0.5939925751",0.0169,0,0.0015,0.0115,0.005
"California State University-Fresno","Fresno","CA",8,"11","36.814477","-119.748258","1","0.594","0.59402024889263","6265","NULL",16316,3810,"20128","34884.68782","25966.8002","0.3316","0.5699",15993.5,43000,0.756,0.043,"0.7596339114",0.0073,0.0394,0.0197,0.0094,0.0176
"California State University-Fullerton","Fullerton","CA",8,"21","33.883627","-117.885349","1","0.4447","0.44468318886582","7237","NULL",15627,5984,"32610","41674.98877","29006.58118","0.3308","0.443",14944,45000,0.77,0.035,"0.8093412339",0.0079,0.0205,0,0.0062,0.0076
"California State University-East Bay","Hayward","CA",8,"12","37.65707","-122.058073","1","0.7031","0.70314483147651","10340","NULL",19793,6661,"12275","35732.03189","23275.9667","0.3865","0.4758",15880,51200,0.797,0.046,"0.7516778523",0.024,0.0071,0,0.0078,0.0075
"California State University-Long Beach","Long Beach","CA",8,"11","33.782752","-118.1123","1","0.3546","0.35459334984822","9389","NULL",17779,5325,"31494","39683.65223","25792.32591","0.3907","0.4974",15446,46500,0.782,0.038,"0.8068321888",0.0099,0.063,0.009,0.0085,0.0083
"California State University-Los Angeles","Los Angeles","CA",8,"11","34.066927","-118.168965","1","0.6107","0.61074388159803","3287","NULL",13479,4315,"20643","27052.24077","20152.13314","0.3605","0.663",13645,43400,0.756,0.06,"0.6925538104",0.0292,0.0418,0.0079,0.0073,0.0067
"California State University-Northridge","Northridge","CA",8,"11","34.23671","-118.526817","1","0.5286","0.52857485173425","8918","NULL",18665,6041,"35409","34276.32643","23389.52311","0.3438","0.5227",15000,43100,0.743,0.052,"0.7398597133",0.0192,0.0342,0.0027,0.0048,0.004
"California State University-Sacramento","Sacramento","CA",8,"11","38.55745","-121.42194","1","0.7265","0.72649651972157","8953","NULL",18241,5144,"26400","37367.05139","25613.40619","0.3994","0.5366",16500,46100,0.788,0.058,"0.7747456806",0.0121,0.0579,0.0073,0.0071,0.0143
"University of California-Berkeley","Berkeley","CA",8,"12","37.871969","-122.260423","1","0.1602","0.16020167520533","13707","NULL",33020,17867,"27126","53858.68866","32359.44703","0.2698","0.3143",14200,60800,0.844,0.029,"0.8430868167",0.0252,0.1313,0,0.0427,0.033
"University of California-Davis","Davis","CA",8,"23","38.539895","-121.751958","1","0.4037","0.40368002907024","15514","NULL",32638,13468,"27547","50675.49278","33781.66551","0.4191","0.4284",14833,56400,0.847,0.027,"0.8712307984",0.0182,0.0968,0,0.0136,0.0197
"University of California-Irvine","Irvine","CA",8,"12","33.648434","-117.841248","1","0.3742","0.37420130797564","12771","NULL",29759,13947,"24474","48676.40214","34171.66858","0.4349","0.4536",17000,54500,0.834,0.023,"0.8598356694",0.032,0.1057,0,0.0137,0.0312
"University of California-Los Angeles","Los Angeles","CA",8,"11","34.068892","-118.443901","1","0.1856","0.18557380080196","13399","NULL",32074,15556,"29627","54317.9785","33863.78542","0.3626","0.3588",16126,59600,0.837,0.015,"0.8547334924",0.0184,0.0802,0,0.0536,0.0235
"University of California-Riverside","Riverside","CA",8,"11","33.97588","-117.331098","1","0.5829","0.58292014071632","13144","NULL",30174,12326,"18784","48718.18795","35257.71627","0.5538","0.5752",19500,47200,0.79,0.043,"0.8020547945",0.0146,0.0734,0,0.0221,0.0234
"University of California-San Diego","La Jolla","CA",8,"11","32.876598","-117.237793","1","0.3329","0.33287495915477","14136","NULL",30092,14857,"24801","54359.18941","36630.20031","0.4124","0.4006",19000,59000,0.848,0.025,"0.8956376539",0.0382,0.1304,0,0.0239,0.0626
"University of California-Santa Barbara","Santa Barbara","CA",8,"22","34.416281","-119.846404","1","0.3634","0.36344723332285","15755","NULL",33826,13281,"20237","57901.29997","38245.02626","0.423","0.3806",16800,51400,0.816,0.04,"0.8381313131",0.0189,0.0437,0,0.0273,0.0281
"University of California-Santa Cruz","Santa Cruz","CA",8,"13","36.997258","-122.067993","1","0.5572","0.55724703513639","16086","NULL",33036,11623,"16277","55488.9997","36700.66675","0.5458","0.4598",19884,43000,0.744,0.034,"0.8449457453",0.0454,0.0271,0,0.0135,0.042
"The California Maritime Academy","Vallejo","CA",8,"12","38.069061","-122.231551","1","0.667","0.66696914700544","15472","NULL",21102,7649,"1047","76609.25696","51760.63762","0.5895","0.3435",26000,79400,0.848,0.038,"0.875",0,0.1494,0.1667,0,0
"Chapman University","Orange","CA",8,"12","33.793678","-117.851481","2","0.4704","0.47037658911009","NULL","35602",58948,25520,"6211","92048.60946","70275.21074","0.6461","0.2007",21000,50100,0.797,0.023,"0.7883526557",0.0111,0,0,0.0044,0.003
"Concordia University-Irvine","Irvine","CA",8,"12","33.6535","-117.81063","2","0.8608","0.86081081081081","NULL","24698",42472,12439,"1884","77597.88206","54369.57539","0.6581","0.2933",22589,42500,0.741,0.024,"0.8159509202",0,0,0,0.0099,0.004
"San Diego Christian College","Santee","CA",8,"21","32.84281","-116.978151","2","0.555","0.55501222493887","NULL","27734",39364,18695,"940","51036.45718","34433.88469","0.8845","0.5336",20000,33900,0.637,0.084,"0.7794676806",0,0,0,0,0
"Claremont McKenna College","Claremont","CA",8,"21","34.102323","-117.706593","2","0.1077","0.10772794969386","NULL","18545",62010,30090,"1293","95509.23748","53464.93784","0.0935","0.1178",13500,66400,0.878,0,"PrivacySuppressed",0.0141,0.0198,0.0113,0.0169,0.0169
"Cogswell College","San Jose","CA",8,"11","37.413664","-121.940553","3","0.438","0.43801652892561","NULL","20667",28968,15016,"607","60687.36136","37072.04044","0.5887","0.5065",34247,52700,0.767,0.063,"0.7849462366",0,0.0862,0,0,0
"Dominican University of California","San Rafael","CA",8,"13","37.980014","-122.514654","2","0.8092","0.80924855491329","NULL","32891",57579,22713,"1448","77081.03115","58622.78624","0.6988","0.3306",27000,51700,0.781,0.027,"0.7831325301",0,0,0,0,0.0103
"Fresno Pacific University","Fresno","CA",8,"11","36.725279","-119.731953","2","0.6662","0.66622864651773","NULL","18920",35508,13869,"2605","43217.82271","30496.08961","0.6761","0.5617",19972.5,38200,0.687,0.062,"0.7335766423",0,0,0,0.0151,0.0034
"Golden Gate University-San Francisco","San Francisco","CA",8,"11","37.789208","-122.398785","2","NULL","NULL","NULL","NULL",NA,21868,"482","47953.96007","36192.97012","0.6695","0.2653",25818.5,65600,0.863,0.02,"0.708994709",0.0157,0,0,0,0
"Harvey Mudd College","Claremont","CA",8,"21","34.106137","-117.710594","2","0.1425","0.14246873300706","NULL","26865",63860,28151,"802","118350.8736","96502.03872","0.4027","0.1388",26000,67200,0.881,0,"PrivacySuppressed",0.1934,0.3867,0,0.0773,0.1381
"Holy Names University","Oakland","CA",8,"11","37.802654","-122.18717","2","0.5706","0.57055214723926","NULL","26721",48896,17558,"690","62289.61259","44272.61113","0.8333","0.4651",27000,47400,0.724,0.039,"0.6073825503",0,0,0,0,0
"Humboldt State University","Arcata","CA",8,"33","40.8741","-124.0814","1","0.7655","0.76553055742108","13434","NULL",22287,4825,"7962","42065.82706","26830.43202","0.5625","0.5231",19553,34200,0.646,0.092,"0.7188940092",0.0084,0.0318,0,0.0132,0.0348
"Humphreys College-Stockton and Modesto Campuses","Stockton","CA",8,"11","38.011051","-121.316401","2","NULL","NULL","NULL","17094",21405,10688,"617","27538.57148","20230.32153","0.769","0.7091",31979.5,29500,0.577,0.103,"0.4630071599",0,0,0,0,0
"John F. Kennedy University","Pleasant Hill","CA",8,"21","37.881794","-122.183972","2","NULL","NULL","NULL","NULL",NA,22654,"251","44558.87753","28963.12598","0.9319","0.5484",24856,44500,0.727,0.049,"0.6439393939",0,0,0,0,0
"University of La Verne","La Verne","CA",8,"21","34.10086","-117.772634","2","0.4656","0.46556540750637","NULL","22696",47935,14914,"5137","53985.54666","37571.68617","0.6662","0.4548",24894,50200,0.815,0.038,"0.6972624799",0.0146,0,0.0081,0.0024,0.0065
"La Sierra University","Riverside","CA",8,"11","33.908834","-117.497071","2","0.4064","0.40641597620565","NULL","22899",40702,28202,"2054","56632.14041","39374.13607","0.695","0.5169",27000,40900,0.694,0.056,"0.7",0.0053,0,0,0,0.008
"The Master's College and Seminary","Santa Clarita","CA",8,"21","34.38214","-118.517422","2","0.7588","0.75876288659793","NULL","24316",40755,13518,"1182","68331.2614","50950.69573","0.5171","0.2698",21250,38300,0.68,0.026,"0.8993576017",0.024,0,0,0.004,0
"Loyola Marymount University","Los Angeles","CA",8,"11","33.970633","-118.415655","2","0.5271","0.52711067095815","NULL","38019",57016,29570,"6064","107491.6302","73516.41871","0.4535","0.1979",22500,54100,0.817,0.025,"0.9072948328",0.0051,0.05,0,0.0095,0.0089
"Marymount California University","Rancho Palos Verdes","CA",8,"21","33.73463","-118.333404","2","NULL","NULL","NULL","24028",46675,22264,"1086","57655.50524","37575.65492","0.5702","0.3901",19500,36200,0.701,0.128,"0.6009389671",0,0,0,0,0
"Mills College","Oakland","CA",8,"11","37.782639","-122.18789","2","0.7614","0.76136971642589","NULL","25161",56336,19224,"909","53662.70288","33947.50629","0.7272","0.503",23471,39000,0.67,0.038,"0.7652811736",0.0074,0,0,0.026,0.0297
"Middlebury Institute of International Studies at Monterey","Monterey","CA",8,"22","36.599827","-121.896813","2","NULL","0.17169005491153","NULL","NULL",NA,12192,"22","87893.85798","59313.00647","0.5909","0.3636",17500,55100,0.844,0.011,"0.9240121581",0,0,0,0,0
"Mount Saint Mary's University","Los Angeles","CA",8,"11","34.082112","-118.480471","2","0.783","0.78297084683017","NULL","26701",48372,22593,"2659","48308.97038","34422.14157","0.9154","0.5989",25000,50500,0.816,0.043,"0.7632696391",0,0,0,0.0029,0.0015
"National University","La Jolla","CA",8,"11","32.909469","-117.244243","2","NULL","NULL","NULL","23998",26862,8682,"9425","39854.0874","30114.34589","0.4092","0.3726",27906.5,56200,0.819,0.054,"0.7288374718",0.0429,0.0086,5e-04,0.0038,0
