"college","city","state","region","locale","lat","long","school_type","adm_rate","adm_rate_all","avg_net_pub","avg_net_priv","avg_cost","avg_tuition","population","avg_fam_inc","md_fam_inc","pct_loan","pct_pell","md_debt","md_earnings_10","pct_25k","default_rate","repay_rate","comp_deg","eng_deg","engtech_deg","math_deg","sci_deg"
"The University of Findlay","Findlay","OH",3,"32","41.05441","-83.652067","2","0.7197","0.71970534069981","NULL","21926",40131,14500,"2767","78911.10643","71184.86636","0.491","0.1978",23734,40800,0.769,0.025,"0.7891268534",0.0258,0,0.0332,0.0129,0
"Heidelberg University","Tiffin","OH",3,"32","41.114337","-83.166581","2","0.7506","0.75061881188118","NULL","19983",37390,12529,"1096","67349.35662","58585.54538","0.8509","0.4327",29000,36200,0.767,0.078,"0.7618243243",0.0087,0,0,0.013,0.0476
"Hiram College","Hiram","OH",3,"31","41.312294","-81.142886","2","0.6208","0.62078651685393","NULL","21967",42650,15431,"1217","56688.15958","44675.26827","0.7654","0.4396",27000,37000,0.772,0.081,"0.7474332649",0.0187,0,0,0.0112,0.0149
"John Carroll University","University Heights","OH",3,"21","41.488978","-81.533103","2","0.8291","0.82907306997159","NULL","22223",46851,12841,"3069","105609.9387","88527.9578","0.6707","0.253",27000,50400,0.85,0.042,"0.8704761905",0.0175,0.008,0,0.0096,0.0542
"Kent State University at Kent","Kent","OH",3,"21","41.146856","-81.342253","1","0.8438","0.84384496124031","18703","NULL",23933,9926,"22530","58868.2573","46566.66712","0.6208","0.3328",25997,36000,0.704,0.12,"0.6502140519",0.0234,0.0015,0.0184,0.0057,0.0143
"Kenyon College","Gambier","OH",3,"32","40.374408","-82.397977","2","0.2506","0.25064054257724","NULL","29203",59960,29409,"1651","136726.1612","105115.5688","0.2985","0.0968",19000,44700,0.768,0.009,"0.8823529412",0,0,0,0.0235,0.0214
"Lake Erie College","Painesville","OH",3,"21","41.717841","-81.251817","2","0.6936","0.69360269360269","NULL","20005",39524,9994,"761","70360.51134","60095.08359","0.6768","0.3731",27000,31600,0.62,0.071,"0.7106017192",0,0,0,0.0173,0.0231
"Lourdes University","Sylvania","OH",3,"21","41.708694","-83.706649","2","0.6455","0.6455078125","NULL","19013",28789,15645,"1449","53300.41812","34647.16597","0.814","0.5127",30500,34200,0.64,0.109,"0.5342312009",0,0,0,0,0
"Malone University","Canton","OH",3,"13","40.826516","-81.383525","2","0.7174","0.71740768651092","NULL","19475",36369,11900,"1496","64796.14845","58781.38037","0.7434","0.407",25000,39200,0.751,0.066,"0.8076923077",0.0164,0,0,0.0047,0.0047
"Marietta College","Marietta","OH",3,"31","39.417638","-81.450038","2","0.6946","0.69457274826789","NULL","22779",43634,16189,"1336","77739.86499","65136.98811","0.7655","0.2853",27000,39500,0.749,0.021,"0.8166311301",0.0248,0.2081,0,0.0124,0.0373
"Miami University-Hamilton","Hamilton","OH",3,"21","39.377448","-84.563221","1","NULL","0.65835342476581","11714","NULL",14996,5198,"3187","89094.3524","67016.86284","0.5742","0.4595",25000,45500,0.793,0.124,"0.7204655248",0.0155,0.0426,0.0186,0.0136,0.0125
"Miami University-Middletown","Middletown","OH",3,"23","39.523776","-84.35724","1","NULL","0.65835342476581","12268","NULL",15503,4856,"1607","89094.3524","67016.86284","0.5443","0.4232",25000,45500,0.793,0.124,"0.7204655248",0.0155,0.0426,0.0186,0.0136,0.0125
"Miami University-Oxford","Oxford","OH",3,"31","39.509642","-84.731821","1","0.6584","0.65835342476581","23591","NULL",29701,16027,"15454","89094.3524","67016.86284","0.3999","0.1389",25000,45500,0.793,0.124,"0.7204655248",0.0155,0.0426,0.0186,0.0136,0.0125
"University of Mount Union","Alliance","OH",3,"31","40.905093","-81.108624","2","0.7355","0.73546856465005","NULL","24115",38400,13981,"2144","82325.31987","71779.55309","0.7476","0.3311",27000,41900,0.818,0.042,"0.8489702517",0.0319,0.0245,0,0.0172,0.0123
"Mount Vernon Nazarene University","Mount Vernon","OH",3,"32","40.373859","-82.474667","2","0.7598","0.75980392156862","NULL","19194",34801,12358,"1706","59768.18572","50537.76333","0.713","0.4429",26769,39500,0.74,0.042,"0.7833800187",0.0099,0,0,0.004,0.004
"Mount Saint Joseph University","Cincinnati","OH",3,"21","39.094519","-84.640143","2","0.8762","0.87623762376237","NULL","16447",32785,15340,"1463","65205.53072","56427.2116","0.6373","0.3109",28000,40800,0.806,0.059,"0.6957055215",0.0098,0,0,0.0098,0.0098
"Muskingum University","New Concord","OH",3,"32","39.996635","-81.737192","2","0.7644","0.76441351888668","NULL","18589",35175,11311,"1598","59721.3179","51611.70106","0.7789","0.4074",27000,38100,0.784,0.059,"0.8106591865",0.0229,0.0143,0,0.0258,0.0287
"Notre Dame College","Cleveland","OH",3,"21","41.506938","-81.516212","2","0.895","0.89499774673276","NULL","19237",36645,12090,"1820","56013.75122","39942.43428","0.6868","0.3504",27000,41100,0.761,0.086,"0.6464646465",0,0,0,0.0142,0.0047
"Oberlin College","Oberlin","OH",3,"31","41.29474","-82.221786","2","0.3272","0.32724505327245","NULL","29486",62051,29026,"2961","129026.3967","111063.3289","0.3518","0.1071",26000,40300,0.692,0.022,"0.9244755245",0.026,0.0029,0,0.0173,0.0491
"Ohio Dominican University","Columbus","OH",3,"11","39.99265","-82.940499","2","0.4657","0.46568839015968","NULL","20750",41470,11936,"1350","59378.73601","43203.56786","0.5766","0.3342",28713,37500,0.735,0.072,"0.6236711552",0.013,0,0,0,0.0156
"Ohio Northern University","Ada","OH",3,"31","40.766144","-83.830729","2","0.6859","0.685945459994","NULL","24341",50960,16986,"2234","85367.47744","78623.36009","0.701","0.2269",27000,58200,0.868,0.025,"0.8788788789",0.0075,0.1895,0.0274,0.01,0.0224
"Ohio State University-Lima Campus","Lima","OH",3,"41","40.737828","-84.026195","1","NULL","0.52962922692182","12274","NULL",15304,7037,"988","77874.07412","63537.36798","0.5807","0.3739",21959.5,42900,0.783,0.051,"0.740149331",0,0,0,0,0
"Ohio State University-Main Campus","Columbus","OH",3,"11","39.998389","-83.009001","1","0.5296","0.52962922692182","18068","NULL",25029,12627,"43733","77874.07412","63537.36798","0.4401","0.2243",21959.5,42900,0.783,0.051,"0.740149331",0.0048,0.1324,0,0.0108,0.0105
"Ohio University-Main Campus","Athens","OH",3,"32","39.326799","-82.101064","1","0.7427","0.74271520015286","20351","NULL",24990,10710,"23390","67463.7848","54035.46124","0.5722","0.2634",21250,39600,0.738,0.111,"0.6890298034",0.0212,0.0231,0.0069,0.0028,0.01
"Ohio Wesleyan University","Delaware","OH",3,"21","40.296912","-83.067912","2","0.743","0.7430293896006","NULL","27823",55547,14320,"1725","94850.8696","74845.02869","0.6262","0.2459",27000,42700,0.802,0.045,"0.8597122302",0.0124,0,0,0.0174,0.0199
"Otterbein University","Westerville","OH",3,"21","40.12534","-82.936231","2","0.7531","0.75309597523219","NULL","25542",43190,15914,"2271","86237.76987","75491.26789","0.6729","0.2441",27000,41200,0.744,0.044,"0.7956685499",0.0093,0,0,0.0075,0.015
"Shawnee State University","Portsmouth","OH",3,"31","38.730909","-82.995357","1","NULL","NULL","14281","NULL",18453,6168,"3753","44278.18465","30579.81925","0.6994","0.5384",23425.5,32700,0.646,0.217,"0.5535530381",0,0,0.0656,0.0112,0.0084
"Franciscan University of Steubenville","Steubenville","OH",3,"13","40.376086","-80.623094","2","0.7792","0.77924944812362","NULL","25447",33851,14786,"2065","107301.7382","90862.16008","0.7618","0.2562",23316.5,35000,0.697,0.026,"0.8453865337",0.0098,0,0,0.0255,0.002
"Tiffin University","Tiffin","OH",3,"32","41.119193","-83.18355","2","0.5438","0.54379562043795","NULL","21942",35023,8607,"2603","48757.28085","33223.60619","0.7598","0.5417",26000,37500,0.729,0.246,"0.6057298772",0.049,0,0,0,0
"University of Toledo","Toledo","OH",3,"11","41.65795","-83.615225","1","0.9473","0.94727727535116","14749","NULL",21480,10857,"15182","58644.30197","44141.28699","0.5686","0.3597",24000,40000,0.751,0.107,"0.6336166195",0.0245,0.129,0.0408,0.0085,0.0129
"Union Institute & University","Cincinnati","OH",3,"11","39.126856","-84.500139","2","NULL","NULL","NULL","23143",25612,17961,"1056","58559.51049","41577.75028","0.7824","0.5858",18750,39600,0.721,0.051,"0.6895388076",0,0,0,0,0
